"ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","negLog10P","padj"
"ENSG00000174106",-21.1666666666667,30.4285714285714,-3.07300866897845,0.0197556219002829,0.0652628062960451,-2.99227639293782,"LEMD3","23592",1.70430929432422,0.0652628062960451
"ENSG00000112039",-3.41666666666667,5.28571428571429,-3.00287108076407,0.0193863581733535,0.0647659998612296,-2.99236532579027,"FANCE","2178",1.71250376770136,0.0647659998612296
"ENSG00000144182",-3.41666666666667,5.28571428571429,-3.00287108076407,0.0193863581733535,0.0647659998612296,-2.99236532579027,"LIPT1","51601",1.71250376770136,0.0647659998612296
"ENSG00000162004",-3.41666666666667,5.28571428571429,-3.00287108076407,0.0193863581733535,0.0647659998612296,-2.99236532579027,"CCDC78","124093",1.71250376770136,0.0647659998612296
"ENSG00000187010",6.66666666666667,5.85714285714286,3.04630756122374,0.0196382732266692,0.0651396849644424,-2.99277880800003,"RHD","6007",1.70689670194104,0.0651396849644424
"ENSG00000108771",-21.5833333333333,34,-3.07220820432707,0.019776893296232,0.0652734075699678,-2.99299332360954,"DHX58","79132",1.70384192963828,0.0652734075699678
"ENSG00000126088",29.9166666666667,42.5714285714286,3.07220198354753,0.0197770587024337,0.0652734075699678,-2.99299889567268,"UROD","7389",1.70383829738426,0.0652734075699678
"ENSG00000125482",-6.75,13.8571428571429,-3.03197954401021,0.0195820988554909,0.0650745659926377,-2.99334348424766,"TTF1","7270",1.70814076133233,0.0650745659926377
"ENSG00000243147",10.75,22.8571428571429,3.07030806378324,0.0197905620893283,0.0653029282118263,-2.99364780640179,"MRPL33","9553",1.70354187083519,0.0653029282118263
"ENSG00000214900",-5.25,5,-3.01423240223628,0.0195085233601094,0.0649407596119468,-2.99402938291643,"LINC01599","196913",1.70977560199585,0.0649407596119468
"ENSG00000136371",23.0833333333333,28.1428571428571,3.07100962567754,0.0198087901459041,0.0653179350943671,-2.99406704416646,"MTHFS","10588",1.70314204889372,0.0653179350943671
"ENSG00000173928",4.66666666666667,7,3.00095447469195,0.0194396020349312,0.0648090048378077,-2.99421788782561,"SWSAP1","126074",1.71131263014032,0.0648090048378077
"ENSG00000198718",-6.58333333333333,6.42857142857143,-3.0414276442149,0.0196690151074252,0.065141958936129,-2.99438774766185,"TOGARAM1","23116",1.70621738609588,0.065141958936129
"ENSG00000175294",23.5,14.5714285714286,3.07028145554786,0.0198281953767822,0.0653535678387656,-2.99471948935204,"CATSPER1","117144",1.70271681043259,0.0653535678387656
"ENSG00000111224",-9.91666666666666,12,-3.06998436392499,0.0198361185317358,0.0653557300622144,-2.99498571356747,"PARP11","57097",1.7025433052244,0.0653557300622144
"ENSG00000170903",-9.33333333333333,10,-3.06936704337428,0.0198525927763953,0.0653570533047775,-2.99553894759071,"MSANTD4","84437",1.7021827657297,0.0653570533047775
"ENSG00000160593",1712.41666666667,1869.14285714286,2.99931713331805,0.0194852103263216,0.064905315989034,-2.99580100248103,"JAML","120425",1.71029490200535,0.064905315989034
"ENSG00000101188",59.1666666666667,27.8571428571429,3.06896682475264,0.0198632811459328,0.065377214874619,-2.9958976555775,"NTSR1","4923",1.70194901032843,0.065377214874619
"ENSG00000013503",-3.75,5.14285714285714,-2.99918795312299,0.019488813464733,0.064905315989034,-2.99592592341846,"POLR3B","55703",1.71021460118024,0.064905315989034
"ENSG00000149483",-7.58333333333333,21,-3.03157233687373,0.0196813246210786,0.0651562117503627,-2.9962401584659,"TMEM138","51524",1.70594567540338,0.0651562117503627
"ENSG00000010244",-52.75,148.142857142857,-3.0513819261086,0.0198073400787853,0.0653179350943671,-2.996840143592,"ZNF207","7756",1.70317384180963,0.0653179350943671
"ENSG00000104894",698.416666666667,827.571428571429,2.99762118823361,0.0195325703423046,0.0649906010646159,-2.99744125126172,"CD37","951",1.70924060299843,0.0649906010646159
