"ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000224370",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000226491",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000229931",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000230322",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000234263",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000234925",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000235917",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000237705",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000240531",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000249864",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000252498",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000252781",1.08333333333333,0.714285714285714,1.40791236679847,0.200755820057067,0.42791132597051,-4.79330341168538
"ENSG00000164125",47.5,28.8571428571429,1.40839370951597,0.207593712379632,0.436886121565339,-4.79348783443989
"ENSG00000253736",-1.58333333333333,2.57142857142857,-1.40771067012206,0.200813189236723,0.427963611141941,-4.79351966934377
"ENSG00000155657",26.5833333333333,92.1428571428571,1.40831902928794,0.207614775234357,0.436886121565339,-4.79356621464972
"ENSG00000170854",2.41666666666667,1.28571428571429,1.40791755794084,0.203322281188524,0.430656507323661,-4.793570926219
"ENSG00000248810",2.41666666666667,1.28571428571429,1.40791755794084,0.203322281188524,0.430656507323661,-4.793570926219
"ENSG00000114127",-46.7499999999999,234.714285714286,-1.40747544259899,0.200880114075838,0.428036240457213,-4.79377185873753
"ENSG00000251661",2.25,3.71428571428571,1.40762466803128,0.202452014854178,0.430189900143428,-4.79378464493092
"ENSG00000101109",-123.416666666667,535.857142857143,-1.40708870574683,0.200990188030377,0.428141473122457,-4.79418643622376
"ENSG00000138744",-71.1666666666667,56,-1.4075711817809,0.207825805977712,0.437118447950539,-4.79435101348303
"ENSG00000151414",-60.8333333333333,266.428571428571,-1.40687704208553,0.201050454904872,0.428189169524479,-4.79441331284618
"ENSG00000177606",-568.416666666667,374.142857142857,-1.40697535195759,0.207994079575606,0.437331210879203,-4.79497615277594
"ENSG00000131368",-3,11.7142857142857,-1.40647379578445,0.204288939724348,0.431980117229873,-4.79515987448315
"ENSG00000160633",16.3333333333334,157,1.40577609091308,0.201364186822026,0.428647187628985,-4.79559311432036
"ENSG00000140374",8.16666666666666,20,1.4061593772187,0.208224727602588,0.437604362218502,-4.79583207792781
"ENSG00000148660",-79.75,343.571428571429,-1.40512976172985,0.201548569933902,0.428931190468788,-4.79628551572543
"ENSG00000198718",-1.66666666666667,5.28571428571429,-1.40507769720094,0.201563429284136,0.428931190468788,-4.79634128454058
"ENSG00000159873",6.33333333333334,25.7142857142857,1.4051004080238,0.207739569232713,0.437007597456128,-4.79688002419177
"ENSG00000088812",4.08333333333333,4,1.40445884098385,0.207557101971198,0.436886121565339,-4.79752526010057
"ENSG00000217275",-2.41666666666667,3.71428571428571,-1.40266952512089,0.204553883838504,0.432315529153093,-4.79912586316722
"ENSG00000131263",11.8333333333333,109.571428571429,1.40256717453677,0.205175965576446,0.433223134055775,-4.79928468433441
"ENSG00000162290",-9.33333333333333,34,-1.40169356759922,0.20949118822983,0.439428155764017,-4.80051266777984
"ENSG00000162825",1.58333333333333,3.42857142857143,1.40077370878833,0.202795163396636,0.430656507323661,-4.80094786218425
"ENSG00000240219",3.58333333333333,9.28571428571429,1.4009819019318,0.207427084056195,0.4367459736479,-4.80110140840978
"ENSG00000187514",-80.6666666666667,156.428571428571,-1.40083104590896,0.209736597142566,0.439751498513921,-4.80141591555341
"ENSG00000122417",2.91666666666667,14,1.40027273741698,0.205594051441141,0.433614125000963,-4.80169917126019
"ENSG00000143851",33.4166666666667,50.5714285714286,1.39944774640359,0.2101307262563,0.440091163632525,-4.80286401760058
"ENSG00000261221",-12.9166666666667,77.7142857142857,-1.39928898092347,0.209293918999436,0.439284643646425,-4.80297582549996
"ENSG00000196358",-81.25,274.428571428571,-1.39863184436058,0.203410613803563,0.430656507323661,-4.80323762682169
"ENSG00000147536",-1.08333333333333,1.28571428571429,-1.39860525048599,0.203418265762957,0.430656507323661,-4.80326604581983
"ENSG00000168806",-1.08333333333333,1.28571428571429,-1.39860525048599,0.203418265762957,0.430656507323661,-4.80326604581983
"ENSG00000170293",-1.08333333333333,1.28571428571429,-1.39860525048599,0.203418265762957,0.430656507323661,-4.80326604581983
"ENSG00000198393",-1.08333333333333,1.28571428571429,-1.39860525048599,0.203418265762957,0.430656507323661,-4.80326604581983
"ENSG00000224113",-1.08333333333333,1.28571428571429,-1.39860525048599,0.203418265762957,0.430656507323661,-4.80326604581983
"ENSG00000261485",-1.08333333333333,1.28571428571429,-1.39860525048599,0.203418265762957,0.430656507323661,-4.80326604581983
"ENSG00000119326",-1.08333333333333,1.28571428571429,-1.39860525048599,0.203418265762957,0.430656507323661,-4.80326604581983
"ENSG00000124608",-1.08333333333333,1.28571428571429,-1.39860525048599,0.203418265762957,0.430656507323661,-4.80326604581983
"ENSG00000169683",-1.08333333333333,1.28571428571429,-1.39860525048599,0.203418265762957,0.430656507323661,-4.80326604581983
"ENSG00000226904",-1.08333333333333,1.28571428571429,-1.39860525048599,0.203418265762957,0.430656507323661,-4.80326604581983
"ENSG00000177683",-8.99999999999999,65.1428571428571,-1.39848428616953,0.208850674707365,0.438618886650166,-4.80377872044499
"ENSG00000179862",-5.16666666666667,11.2857142857143,-1.39779214142311,0.209851893723421,0.439888994531707,-4.80455369598396
"ENSG00000149483",-1.66666666666667,6.28571428571429,-1.39721706922578,0.203818046695779,0.431404382741496,-4.80474911380075
"ENSG00000221944",-2.83333333333333,7.28571428571429,-1.39719536356074,0.20703143091326,0.436151569295442,-4.80499796683594
"ENSG00000184900",15,19.4285714285714,1.39700994716197,0.210826942159289,0.4411523298362,-4.80541447525826
"ENSG00000151445",3.41666666666667,27.7142857142857,1.39644725985128,0.206381263146693,0.435110444116777,-4.8057335454617
"ENSG00000135776",5.08333333333333,6.42857142857143,1.39661449867693,0.210337182344796,0.440310982642036,-4.80579613012073
"ENSG00000143622",-34.5833333333333,235.428571428571,-1.39623189274212,0.204102188560777,0.43169903188978,-4.80580117329778
"ENSG00000198695",159.5,177.857142857143,1.39642668686318,0.210993827083453,0.441430655731507,-4.8060243970943
"ENSG00000154767",-27.75,135.857142857143,-1.39606694915773,0.210066631707834,0.440091163632525,-4.80634713147877
"ENSG00000105220",59.9166666666667,40.4285714285714,1.39587016364605,0.211153173756606,0.441693123659083,-4.80660625404575
"ENSG00000115204",3.33333333333333,7.42857142857143,1.39565741723455,0.208680926020029,0.438351036088495,-4.80669485213125
"ENSG00000157625",-15.4166666666667,112.142857142857,-1.39550680451337,0.208875752804706,0.438618886650166,-4.80686196698612
"ENSG00000089902",-39.4166666666666,245.857142857143,-1.39506941532352,0.204437917974336,0.432154898141371,-4.8070420817601
"ENSG00000116473",-116.583333333333,544.285714285714,-1.39457708112287,0.204580253858742,0.432315529153093,-4.80756747347377
"ENSG00000183570",3.91666666666667,10.4285714285714,1.39460183609842,0.20975255638141,0.439751498513921,-4.80784657239989
"ENSG00000166986",-47.8333333333333,227,-1.39374257458311,0.20503494030521,0.432995518077701,-4.80847144190848
"ENSG00000145901",256.083333333333,955,1.39306811362885,0.205017048999809,0.432995518077701,-4.80917716682849
"ENSG00000149657",11.1666666666667,60.2857142857143,1.39334000327101,0.211364403910251,0.441955184109498,-4.80922834708604
"ENSG00000258890",-2.41666666666667,7.71428571428571,-1.39268488674425,0.206957186920556,0.436065652376507,-4.80969201982462
"ENSG00000237172",-2.41666666666666,7.71428571428571,-1.39268488674425,0.206957186920557,0.436065652376507,-4.80969201982462
"ENSG00000174032",1.83333333333334,10.2857142857143,1.39236282022794,0.205221490353516,0.433249062414874,-4.80992923259434
"ENSG00000171159",-7.74999999999999,27.4285714285714,-1.39251460577676,0.211904031272041,0.442908313638692,-4.81010395319818
"ENSG00000182979",5.75,11.7142857142857,1.39199297771449,0.211871284121617,0.442908313638692,-4.81064192480346
"ENSG00000074966",1.08333333333333,1.71428571428571,1.39164627607976,0.205429377522547,0.433477274590969,-4.81069309462911
"ENSG00000126895",1.08333333333333,1.71428571428571,1.39164627607976,0.205429377522547,0.433477274590969,-4.81069309462911
"ENSG00000248455",1.08333333333333,1.71428571428571,1.39164627607976,0.205429377522547,0.433477274590969,-4.81069309462911
"ENSG00000122566",142.666666666667,603.142857142857,1.39150088055865,0.205471583073642,0.433496142239873,-4.81084806683248
"ENSG00000118965",2.41666666666667,8.28571428571429,1.39111336150372,0.207341211249269,0.436663003393742,-4.81135444415817
"ENSG00000081019",31,91.2857142857143,1.39121145401533,0.212491372515277,0.443922341554839,-4.81147297519728
"ENSG00000187866",3.83333333333334,24.1428571428571,1.39022806985821,0.209527922628218,0.439428155764017,-4.81237903228397
"ENSG00000171161",4.75000000000001,42.2857142857143,1.38936200193934,0.209443984373108,0.439428155764017,-4.81327813072831
"ENSG00000242588",-6.5,22.7142857142857,-1.38894193077651,0.212632242400435,0.444145437243544,-4.81382621368397
"ENSG00000184922",-871.166666666667,2888.14285714286,-1.38829657213532,0.206403680596218,0.435110444116777,-4.81426131259373
"ENSG00000089177",3.16666666666667,2.85714285714286,1.38722554780392,0.211230104933316,0.441783137135447,-4.81556686173481
"ENSG00000182180",2.83333333333334,13.7142857142857,1.38630478770023,0.209503079129217,0.439428155764017,-4.8164734172198
"ENSG00000255455",2.08333333333333,3.14285714285714,1.38601716479266,0.208150264368642,0.43751842665357,-4.81672792117989
"ENSG00000127445",-3.66666666666666,27.4285714285714,-1.38571563362911,0.210184730083551,0.440091163632525,-4.81711089884329
"ENSG00000149743",-2.66666666666666,11.8571428571429,-1.38524629543432,0.209530890110313,0.439428155764017,-4.81758232308468
"ENSG00000107372",84.8333333333333,407.857142857143,1.38472286976223,0.207447634812807,0.4367459736479,-4.81806324073505
"ENSG00000137504",-7.74999999999999,41.4285714285714,-1.38459766398107,0.213611883786755,0.44576647712895,-4.81835657918532
"ENSG00000158987",-5.25,27,-1.38421514103212,0.213045609248451,0.444866268182313,-4.81874426132929
"ENSG00000196954",-248.666666666667,744.428571428571,-1.38397261816324,0.207667390266772,0.436926288336546,-4.81886076041706
"ENSG00000039650",-15.8333333333333,68.7142857142857,-1.38409084354271,0.214551614521894,0.4471853377919,-4.81889740268147
"ENSG00000131899",-3,7.71428571428571,-1.38372370291823,0.211380192031499,0.441955184109498,-4.81922354370648
"ENSG00000181222",147.333333333333,614.142857142857,1.38321255575041,0.207890228840345,0.437183389099141,-4.81966848026325
"ENSG00000127184",10.1666666666667,16.8571428571429,1.38321419006011,0.214806508516376,0.447467777970814,-4.8198102715602
"ENSG00000090621",-9.58333333333333,11.1428571428571,-1.38268819731089,0.214959576695419,0.447611882679018,-4.82035786781602
"ENSG00000168899",8.75,16,1.38262241351499,0.214978727262736,0.447611882679018,-4.82042634683409
"ENSG00000109929",-1.08333333333333,2.28571428571429,-1.3823964976979,0.208129719293979,0.43751842665357,-4.82053545018695
"ENSG00000257599",-3.58333333333333,2.71428571428571,-1.38213194713928,0.213537978353643,0.445751551162049,-4.82092108068216
"ENSG00000120733",71.0833333333333,361.714285714286,1.38188282485946,0.208280592831292,0.437651190870268,-4.82108103341521
"ENSG00000005483",-101.166666666667,421.142857142857,-1.38149236961968,0.208395340001514,0.437821710607728,-4.82149567396281
"ENSG00000253210",5,10.1428571428571,1.38076370876801,0.214747174212564,0.447415695337832,-4.8223569263048
"ENSG00000142541",-29.25,82.7142857142857,-1.38070436178075,0.215537777928585,0.448346100872358,-4.82242233277646
"ENSG00000138613",6.58333333333334,35.5714285714286,1.38065898314405,0.214527439234485,0.4471853377919,-4.82246466329545
"ENSG00000132964",1.91666666666667,3.57142857142857,1.3803483773554,0.208972358402966,0.438751051185347,-4.82271530449433
"ENSG00000249915",-6.66666666666664,94.1428571428571,-1.3786099117998,0.209244164031433,0.439250957741242,-4.82455478603316
"ENSG00000124688",-5.83333333333333,23,-1.37843319247461,0.215349098047546,0.44816822832252,-4.82478598024677
"ENSG00000073417",2.58333333333333,3.85714285714286,1.37816842379888,0.212366610319607,0.443732830797679,-4.82505483355614
"ENSG00000197157",13.5,21.2857142857143,1.37766403787582,0.216426630612072,0.449048216866188,-4.82558360771313
"ENSG00000150995",6.75,23.1428571428571,1.37754906342441,0.216075161112774,0.448850779181932,-4.82570517336797
"ENSG00000136100",5.91666666666667,21.2857142857143,1.37712810248878,0.215854510371007,0.448758165272567,-4.82614505817133
"ENSG00000177731",143.75,657.857142857143,1.37624095872942,0.209944051053564,0.440011398091034,-4.82706642510363
"ENSG00000167523",1.08333333333333,2.71428571428571,1.37548105152997,0.210168995547095,0.440091163632525,-4.82787162406408
"ENSG00000230454",1.08333333333333,2.71428571428571,1.37548105152997,0.210168995547095,0.440091163632525,-4.82787162406408
"ENSG00000240288",1.08333333333333,2.71428571428571,1.37548105152997,0.210168995547094,0.440091163632525,-4.82787162406408
"ENSG00000073849",-4.83333333333333,22.4285714285714,-1.3753070862657,0.215612970452422,0.448389702572911,-4.82804811958327
"ENSG00000138381",-14.5,45.2857142857143,-1.3751889555291,0.217152678412809,0.450124654855372,-4.82815480496507
"ENSG00000163412",95.9166666666667,350.857142857143,1.37484551245323,0.210357288054736,0.440310982642036,-4.82854486346878
"ENSG00000106105",6.08333333333334,22.8571428571429,1.37378808377102,0.216840618597415,0.449835552620426,-4.82962082609327
"ENSG00000198624",128.166666666667,416.428571428571,1.37351407435002,0.210752237549159,0.441066831498416,-4.82995475387185
"ENSG00000101255",-9.33333333333333,6,-1.37310284482715,0.217766332764569,0.4510379606783,-4.83032028064102
"ENSG00000117305",3.5,11,1.37207616647443,0.215627552641531,0.448389702572911,-4.8314319093867
"ENSG00000203950",2.75,6.42857142857143,1.37139482225447,0.21456798014217,0.4471853377919,-4.8321640959023
"ENSG00000179218",36.5833333333334,84.4285714285714,1.3711513074077,0.218341818279728,0.451870823538417,-4.83234469583452
"ENSG00000071626",-5.5,23.1428571428571,-1.36977568986602,0.217735578720955,0.4510379606783,-4.83379886872868
"ENSG00000123810",-4.33333333333333,30.1428571428571,-1.36959390366806,0.215980742147867,0.448766108365913,-4.83403237882561
"ENSG00000102317",-43.3333333333333,145.428571428571,-1.36893973710276,0.218964398311048,0.45298680910696,-4.83463822883506
"ENSG00000175216",2,2.85714285714286,1.36875226476578,0.213019869855592,0.444866268182313,-4.83497814762775
"ENSG00000253352",-46.5,262.571428571429,-1.36864964427527,0.212200743402094,0.443457358565761,-4.83509970390012
"ENSG00000120071",-51.8333333333333,218.285714285714,-1.36796360704943,0.214732661542565,0.447415695337832,-4.83577851760477
"ENSG00000208028",-6.75,5.85714285714286,-1.36782086862637,0.219327096713968,0.453621762319699,-4.83579643984205
"ENSG00000198931",-2.66666666666667,2.85714285714286,-1.36732065145347,0.215967155630927,0.448766108365913,-4.83642595077886
"ENSG00000127804",2.66666666666667,4.14285714285714,1.36575839871852,0.216297029869746,0.448850779181932,-4.83806391558668
"ENSG00000167632",-11.1666666666667,42.7142857142857,-1.36542451075188,0.220038515358441,0.454183440571232,-4.83827767822476
"ENSG00000172159",-6.25,9.57142857142857,-1.36527510092966,0.220051737551163,0.454183440571232,-4.83843362374368
"ENSG00000196262",-11.75,28.7142857142857,-1.36519046567416,0.220108108876918,0.454227850337925,-4.83851990517804
"ENSG00000214517",2.58333333333333,10.8571428571429,1.36492140170312,0.215519930012208,0.448346100872358,-4.83897291404898
"ENSG00000161813",2,3.85714285714286,1.36472912884394,0.214089603118196,0.446402513253812,-4.83921962242398
"ENSG00000226012",2,3.85714285714286,1.36472912884394,0.214089603118195,0.446402513253812,-4.83921962242398
"ENSG00000104852",-94.1666666666666,378.142857142857,-1.36448757843332,0.213447042263548,0.44563310714171,-4.83949413662699
"ENSG00000161692",-2.33333333333333,6,-1.36431743265434,0.215399450591106,0.448201443414226,-4.83961608131389
"ENSG00000153914",-7.75000000000001,45.4285714285714,-1.36382464251601,0.219569851313507,0.453968390182055,-4.83997572098766
"ENSG00000134287",-58.5000000000001,291.428571428571,-1.36393317054802,0.213613539723012,0.44576647712895,-4.84007896212258
